Movie,The Shawshank Redemption,The Godfather,The Dark Knight,Pulp Fiction,The Lord of the Rings: The Return of the King,Schindler's List,Inception,Fight Club,Forrest Gump,The Matrix,Se7en,Gladiator,Dune 2,Shutter Island,Whiplash,The Godfather Part II,The Silence of the Lambs,The Green Mile,Goodfellas,The Departed,The Prestige,Catwoman,Batman & Robin,Gigli,The Room,Jack and Jill,Birdemic: Shock and Terror,Battlefield Earth,Superbabies: Baby Geniuses 2,Fifty Shades of Grey,Transformers: Revenge of the Fallen,Foodfight!
The Shawshank Redemption,0.0,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.0,0.0,0.22727272727272727,0.22727272727272727,0.0,0.22727272727272727,0.22727272727272727,0.0,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.0,0.0,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.9545454545454546,0.7727272727272727,0.9545454545454546,0.7727272727272727,0.9545454545454546,0.7727272727272727,0.7727272727272727,0.9545454545454546
The Godfather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22727272727272727,0.0,0.22727272727272727,0.22727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.5454545454545454,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.7727272727272727,0.7727272727272727,0.9545454545454546
The Dark Knight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.4772727272727273,0.7272727272727273,0.7272727272727273,0.6590909090909091,0.7272727272727273,0.6590909090909091,0.7272727272727273,0.4772727272727273,0.4772727272727273,0.7272727272727273
Pulp Fiction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.5454545454545454,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.5454545454545454,0.5454545454545454,0.7272727272727273
The Lord of the Rings: The Return of the King,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.4318181818181818,0.0,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.4318181818181818,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.4318181818181818,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.4318181818181818,0.22727272727272727,0.22727272727272727,0.9545454545454546,0.7727272727272727,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.7727272727272727,0.7727272727272727,0.9545454545454546
Schindler's List,0.0,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.0,0.0,0.22727272727272727,0.22727272727272727,0.0,0.22727272727272727,0.22727272727272727,0.0,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.0,0.0,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.9545454545454546,0.7727272727272727,0.9545454545454546,0.7727272727272727,0.9545454545454546,0.7727272727272727,0.7727272727272727,0.9545454545454546
Inception,0.0,0.0,0.0,0.4318181818181818,0.0,0.0,0.0,0.22727272727272727,0.20454545454545456,0.0,0.22727272727272727,0.0,0.22727272727272727,0.22727272727272727,0.20454545454545456,0.0,0.0,0.0,0.4318181818181818,0.0,0.0,0.9545454545454546,0.7045454545454546,0.9545454545454546,0.9545454545454546,0.8863636363636364,0.9545454545454546,0.8863636363636364,0.9545454545454546,0.7045454545454546,0.7045454545454546,0.9545454545454546
Fight Club,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.4772727272727273,0.7272727272727273,0.7272727272727273,0.6590909090909091,0.7272727272727273,0.6590909090909091,0.7272727272727273,0.4772727272727273,0.4772727272727273,0.7272727272727273
Forrest Gump,0.0,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.0,0.0,0.0,0.22727272727272727,0.0,0.0,0.22727272727272727,0.0,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.0,0.0,0.0,0.22727272727272727,0.0,0.22727272727272727,0.7727272727272727,0.7045454545454546,0.7727272727272727,0.9545454545454546,0.7045454545454546,0.9545454545454546,0.7045454545454546,0.9545454545454546,0.7045454545454546,0.7045454545454546,0.9545454545454546
The Matrix,0.0,0.0,0.0,0.22727272727272727,0.0,0.0,0.0,0.22727272727272727,0.0,0.0,0.22727272727272727,0.0,0.22727272727272727,0.22727272727272727,0.0,0.0,0.0,0.0,0.22727272727272727,0.0,0.0,0.9545454545454546,0.7045454545454546,0.9545454545454546,0.9545454545454546,0.8863636363636364,0.9545454545454546,0.8863636363636364,0.9545454545454546,0.7045454545454546,0.7045454545454546,0.9545454545454546
